Id,ProductId,Price,Unit,Quantity
1,1,65000,Bowl,0
2,2,55000,Bowl,0
3,3,60000,Bowl,0
4,4,55000,Bowl,0
5,5,55000,Plate,0
6,6,75000,Bowl,0
7,7,95000,Plate,0
8,8,120000,Plate,0
9,9,85000,Plate,0
10,10,80000,Plate,0
11,11,45000,Plate,120
12,12,40000,Plate,0
13,13,35000,Piece,0
14,14,55000,Plate,0
15,15,25000,Piece,0
16,16,45000,Glass,0
17,17,40000,Glass,0
18,18,35000,Glass,0
19,19,30000,Glass,0
20,20,25000,Glass,0
21,21,30000,Can,500
22,22,32000,Can,500
23,23,150000,Bottle,50
24,24,30000,Piece,120
25,25,40000,Bowl,0
26,26,35000,Piece,0
27,27,20000,Cup,200
28,28,35000,Plate,0
29,29,40000,Plate,0
30,30,45000,Bowl,0
